City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,yilan,24.76,121.75,77.0,88,40,4.7,TW,1605815136
88,moissala,8.34,17.77,79.5,33,0,2.77,TD,1605815136
89,tonekabon,36.82,50.87,51.8,93,90,5.61,IR,1605815136
90,tateyama,34.98,139.87,72.0,77,100,8.99,JP,1605815136
91,oriximina,-1.77,-55.87,87.06,55,38,6.08,BR,1605815136
92,kapaa,22.08,-159.32,73.99,100,75,9.17,US,1605815136
93,yulara,-25.24,130.99,73.4,46,36,8.05,AU,1605815136
94,ancud,-41.87,-73.82,75.99,44,0,8.05,CL,1605815136
95,zatyshshya,47.33,29.87,33.31,93,65,6.38,UA,1605815136
96,kollo,13.3,2.34,84.2,17,0,6.93,NE,1605815136
97,nowogard,53.67,15.12,42.8,60,20,17.22,PL,1605815136
98,carnarvon,-24.87,113.63,71.6,64,100,14.99,AU,1605814930
99,port elizabeth,-33.92,25.57,59.0,93,0,3.36,ZA,1605815137
100,cidreira,-30.18,-50.21,68.67,56,0,8.57,BR,1605815137
101,kloulklubed,7.04,134.26,77.0,88,90,5.82,PW,1605815137
102,longyearbyen,78.22,15.64,21.2,62,40,14.99,SJ,1605814877
103,sao joao da barra,-21.64,-41.05,80.6,83,75,5.82,BR,1605815137
104,olafsvik,64.89,-23.71,36.1,81,100,19.95,IS,1605815137
105,hofn,64.25,-15.21,31.19,86,96,5.95,IS,1605815137
106,coihaique,-45.58,-72.07,80.6,32,0,8.05,CL,1605815137
107,pak phanang,8.35,100.2,79.84,80,99,1.21,TH,1605815112
108,ukiah,39.15,-123.21,55.0,93,90,1.97,US,1605815137
109,lebu,-37.62,-73.65,56.43,78,88,7.76,CL,1605815137
110,nikolskoye,59.7,30.79,48.2,76,75,13.42,RU,1605815138
111,itigi,-5.7,34.48,69.8,78,6,2.59,TZ,1605815138
112,kaeo,-35.1,173.78,62.01,73,0,5.01,NZ,1605815138
113,north bend,43.41,-124.22,52.0,81,1,6.93,US,1605815138
114,half moon bay,37.46,-122.43,60.01,76,1,9.17,US,1605815138
115,mayumba,-3.43,10.66,77.49,88,100,5.53,GA,1605815138
116,leshukonskoye,64.9,45.76,42.91,87,100,17.85,RU,1605815138
117,katsuura,35.13,140.3,72.0,77,99,8.99,JP,1605815138
118,qaqortoq,60.72,-46.03,32.0,98,75,2.1,GL,1605815138
119,rimouski,48.45,-68.52,23.0,79,90,9.17,CA,1605815138
120,hithadhoo,-0.6,73.08,81.55,74,100,6.82,MV,1605815138
121,thompson,55.74,-97.86,14.0,78,75,9.17,CA,1605815103
122,camana,-16.62,-72.71,69.28,62,17,8.32,PE,1605815139
123,guadalupe y calvo,26.1,-106.97,74.89,22,0,1.68,MX,1605815139
124,barrow,71.29,-156.79,19.4,85,90,8.05,US,1605815139
125,oktyabrskoye,43.06,44.74,37.4,93,90,4.47,RU,1605815139
126,iqaluit,63.75,-68.51,5.0,77,20,13.87,CA,1605815084
127,jacqueville,5.21,-4.41,82.4,83,40,8.05,CI,1605815139
128,chokurdakh,70.63,147.92,-10.25,89,45,5.37,RU,1605815139
129,east london,-33.02,27.91,64.31,64,21,4.99,ZA,1605815139
130,yarmouth,41.71,-70.23,45.0,73,70,1.01,US,1605815139
131,peniche,39.36,-9.38,68.0,73,0,1.01,PT,1605815139
132,mujiayingzi,42.12,118.78,15.28,89,0,6.8,CN,1605815139
133,novopokrovka,49.84,36.55,23.0,85,0,8.95,UA,1605815140
